lp,kol1,kol2,kol3,kol4,kol5
0,0.89941409492052971,-0.011928410175615477,0.046286868957048109,0.047292901983303187,0
1,0.91464483655407536,0.025296681745685244,0.083781233658610413,0.083366104789040482,0
2,0.90530256703888889,0.13681114182137563,0.19381469344286209,0.19704970670572694,0
3,0.90890970032447627,0.15912525353569126,0.21191393816613882,0.2183914444913202,0
4,0.90800838449054522,0.0053630162068764994,0.064453431875390224,0.05118052774832977,0
5,0.89721877378145265,0.031136535167608295,0.093480663597616129,0.083573669223825447,0
6,0.89961417955586298,0.14378792475995869,0.1960530234287865,0.19790801369281072,0
7,0.90148599936865359,0.17548918478617115,0.22706614190544158,0.23157646097482307,0
8,0.90611786517912529,0.033462752797090288,0.087956831702527855,0.091326481355523487,0
9,0.90843847295901858,0.035222375618105206,0.095094430329322702,0.097566504048113054,0
10,0.90617209372515028,0.15723473422427142,0.22128799682899514,0.2342168301812769,0
11,0.91251309371033784,0.1753788577442584,0.23087522977622518,0.22713720000023283,1
12,0.91990874541821677,0.034358458781432635,0.088856277586596061,0.093278709012419941,1
13,0.9227940780567141,0.068423335434385626,0.1224985455705274,0.13245602859061714,1
14,0.91160429807695509,0.15301051748391786,0.20850314961615879,0.21570432653829316,1
15,0.90753528717522447,0.17526853070234566,0.24079531379905636,0.22560197116276923,1
16,0.91072355169151609,0.04029928949595378,0.0941613253477218,0.094417508478942883,1
17,0.91042435971344771,0.067187298574990451,0.12290058479105684,0.12859832202339738,1
18,0.90096241340703376,0.17750499073840714,0.23476659544097764,0.22467073613103125,1
19,0.90640957735774208,0.18657985742319502,0.24734200826916608,0.23290786527722754,1
20,0.9041731173216806,0.045701574649951754,0.098778231559290164,0.101884218281613,1
21,0.89906067439643633,0.074751245770532798,0.13205772926981355,0.12628519404295588,1
22,0.90192356763657866,0.18233881113407513,0.23769306697645939,0.23463195905084683,1
23,0.91540777609814994,0.21270118705843136,0.25827934501742988,0.26767584307864134,1
24,0.91306285897003858,0.050165144972760055,0.10740431027697542,0.11269065853947188,1
25,0.9074043906848196,0.075718009849666396,0.13035420494468647,0.14670691649598874,1
26,0.90930986959514282,0.18186571381875441,0.2363672725236437,0.23665337485267163,1
27,0.90481451012466474,0.19484503581733523,0.25257038808591176,0.25273681362371236,1
28,0.89916726153862325,0.057377541594072004,0.10992687264206481,0.10286407200978707,1
29,0.90674242843334318,0.077634708459167229,0.13570787140224833,0.12484907254822745,1
30,0.90213487197108944,0.19024495915453321,0.24728590977327825,0.24787868387982631,1
31,0.90892465992337979,0.21898795849759412,0.26927091031171863,0.27615793565688118,1
32,0.91893076163990561,0.058587399155386188,0.11114047010310486,0.11295993131973346,1
33,0.91171275516900485,0.093643349235690843,0.15333588876006726,0.15086194509141398,1
34,0.90962589112197756,0.17873167784848767,0.23613539874064066,0.2412571914151995,1
35,0.90871709548859481,0.20552992933410383,0.25925732879574104,0.26079629753293049,1
36,0.90626372126843369,0.050092216928105879,0.11042801920532942,0.10472280217353716,1
37,0.9078288693037041,0.077421534174793472,0.12854222352750957,0.13527965288363789,1
38,0.91541899579732744,0.19131457047612782,0.24949619051125874,0.2426428242636289,1
39,0.90744178968207811,0.19954047992314655,0.25044425509176305,0.25087995340982516,1
40,0.91518151216473564,0.058276987478140203,0.11662690300093458,0.10850945064596565,1
41,0.90719308635030871,0.080060033431384389,0.13832767116020994,0.13576022999841028,1
42,0.91854929186786838,0.18702303554070887,0.24484562520215766,0.25245819109413614,1
43,0.90869839598996549,0.20153197652716451,0.25415610556967444,0.25661508963942431,1
44,0.91897377048675288,0.049355456682112386,0.10553249046418484,0.10911718435141714,1
45,0.91473646409735887,0.083304396443563869,0.13783587434625999,0.14802897104907861,1
46,0.91063753399782144,0.18510633693120804,0.24286160839759141,0.24275128135567869,1
47,0.90052110523938289,0.19859428529250517,0.25811478942949229,0.26717843641510258,1
48,0.90891531017406513,0.058082512692395727,0.11556851137851754,0.11328156269615701,1
49,0.90523524884382345,0.07941677067853728,0.14008916393108781,0.14419744377993984,1
50,0.88824114448953695,0.18784955338012291,0.24082149309713735,0.23799599885425368,1
51,0.89217364905127383,0.19950495087575093,0.25461237333622877,0.25548937982194186,1
